                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.8995,                  2.899,                 3.5232,                0.07706,                0.54321,                0.06452,                0.02524,                 2.1898,                  13.84,                 3.4049,               0.008548,               0.008548,               0.008548
                     46,                 2.8627,                 2.9271,                 3.4648,                0.19627,                0.32099,                0.17695,                0.06276,                  2.231,                 7.8746,                 3.5789,               0.008515,               0.008515,               0.008515
                     47,                 2.7657,                 2.8322,                 3.4567,                0.25753,                0.37037,                0.18538,                0.05751,                  2.322,                 4.1003,                 3.3027,               0.008482,               0.008482,               0.008482
                     48,                  2.727,                 2.8141,                 3.4396,                 0.1649,                0.17284,                 0.1151,                0.02947,                 2.3842,                 4.3914,                 3.3413,               0.008449,               0.008449,               0.008449
                     49,                 2.6569,                 2.9061,                 3.3816,                0.26409,                0.19753,                0.13465,                0.04091,                  2.191,                 4.1918,                 3.1541,               0.008416,               0.008416,               0.008416
                     50,                 2.7889,                 2.7999,                 3.4096,                0.24463,                0.12346,                 0.0809,                0.02265,                 2.2403,                 4.2631,                 3.3931,               0.008383,               0.008383,               0.008383
                     51,                 2.7382,                 2.8778,                  3.401,                 0.0727,                0.17284,                0.04182,                0.01357,                 2.2448,                 5.8547,                 3.1763,                0.00835,                0.00835,                0.00835
                     52,                 2.7631,                 2.7818,                 3.3752,                0.29266,                0.28607,                0.21764,                0.06953,                 2.1957,                 4.4889,                 3.1263,               0.008317,               0.008317,               0.008317
                     53,                 2.7377,                 2.7726,                    3.4,                0.23512,                 0.2963,                0.19913,                0.06562,                 2.2307,                 4.1683,                 3.1571,               0.008284,               0.008284,               0.008284
                     54,                 2.6507,                 2.7445,                  3.311,                0.56965,                0.25926,                0.32868,                0.10848,                 2.2528,                 4.3589,                 3.1724,               0.008251,               0.008251,               0.008251
                     55,                 2.7944,                 2.8494,                 3.3937,                0.37047,                0.46914,                0.37283,                 0.1307,                 2.2927,                 3.4025,                 3.1197,               0.008218,               0.008218,               0.008218
                     56,                 2.7375,                 2.6828,                 3.3514,                0.15398,                 0.2716,                0.10297,                0.03791,                  2.297,                 3.9263,                 3.1655,               0.008185,               0.008185,               0.008185
                     57,                 2.6169,                 2.6313,                 3.3138,                0.16763,                0.23457,                 0.0849,                0.02888,                 2.2338,                 3.8847,                 3.2232,               0.008152,               0.008152,               0.008152
                     58,                 2.7282,                 2.6779,                 3.3256,                0.21314,                0.28395,                0.13392,                0.04842,                 2.2297,                 3.4685,                 3.1126,               0.008119,               0.008119,               0.008119
                     59,                 2.6289,                 2.6843,                 3.2785,                0.06752,                0.12346,                0.05647,                0.02037,                 2.2046,                 3.9819,                 3.1735,               0.008086,               0.008086,               0.008086
                     60,                 2.6979,                 2.6776,                 3.2889,                0.38592,                0.24691,                0.21627,                0.07588,                 2.3173,                 3.6839,                 3.1907,               0.008053,               0.008053,               0.008053
                     61,                   2.64,                 2.6567,                  3.311,                0.13535,                0.40741,                 0.1216,                0.03865,                 2.3903,                 4.0349,                 3.2013,                0.00802,                0.00802,                0.00802
                     62,                 2.6308,                 2.6241,                 3.2701,                0.04375,                0.12346,                0.04328,                0.01646,                  2.297,                 4.2548,                 3.2215,               0.007987,               0.007987,               0.007987
                     63,                 2.6613,                 2.6549,                 3.3008,                0.10198,                0.34568,                0.08852,                0.03075,                 2.2716,                 3.2116,                 3.1144,               0.007954,               0.007954,               0.007954
                     64,                 2.7821,                 2.6489,                 3.2854,                0.34152,                 0.2963,                0.27383,                0.09344,                  2.329,                 3.2502,                 3.1576,               0.007921,               0.007921,               0.007921
                     65,                 2.7662,                 2.7239,                 3.2747,                0.45961,                0.48303,                0.47965,                0.22185,                  2.123,                  2.425,                 2.9412,               0.007888,               0.007888,               0.007888
                     66,                 2.7181,                 2.6404,                  3.283,                 0.5197,                0.55556,                0.54698,                0.25463,                  2.104,                 2.5966,                 2.9115,               0.007855,               0.007855,               0.007855
                     67,                 2.5846,                 2.6347,                 3.2177,                 0.4404,                0.44444,                0.35577,                 0.1124,                 2.2627,                 2.9087,                 3.0255,               0.007822,               0.007822,               0.007822
                     68,                 2.4189,                 2.5545,                 3.1625,                0.26859,                0.28395,                0.18083,                0.05038,                 2.5288,                 5.2915,                 3.2741,               0.007789,               0.007789,               0.007789
                     69,                 2.5626,                 2.5001,                 3.2132,                0.06685,                0.40741,                0.06831,                0.02628,                 2.3839,                 4.3484,                 3.1269,               0.007756,               0.007756,               0.007756
                     70,                 2.5814,                 2.5255,                 3.1834,                0.45537,                0.39506,                 0.4075,                0.13545,                  2.463,                 3.2863,                 3.1278,               0.007723,               0.007723,               0.007723
